TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,"APOIO ADMINISTRATIVO, APOIO",PORTEIRO
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,APOIO À EQUIPE GESTORA,INSPETOR ESCOLAR
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,,
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,"Arte, História",,SALA DE AULA
03ª DIREC - NOVA CRUZ,"SAO JOSE DO CAMPESTRE, PASSA E FICA","EE BELMIRA LARA, ESCOLA ESTADUAL SENADOR JOÃO CAMARA",VÍNCULO SERVIDOR,"PROF PERM NIVEL - V, ESPECIALISTA PERM NIVEL - II",,"EQUIPE GESTORA, APOIO À EQUIPE GESTORA","COORDENADOR(A) PEDAGÓGICO(A), APOIO PEDAGÓGICO"
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Ensino Religioso, Geografia, Ciências",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,"VÍNCULO CONVÊNIO, VÍNCULO SERVIDOR","CONVENIO - PROFESSOR , PROF PERM NIVEL - IV",,EQUIPE GESTORA,COORDENADOR ADM. FINANCEIRO
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,,
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Matemática,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,VICE-DIRETOR(A)
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,"EE BELMIRA LARA, EE DIOGENES DA CUNHA LIMA ENS 1 E 2 GRAUS","VÍNCULO TEMPORÁRIO, VÍNCULO SERVIDOR","PROFESSOR TEMPORARIO, PROF PERM NIVEL - III","Arte, Língua Portuguesa, Ensino Religioso",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,,,
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,APOIO À EQUIPE GESTORA,APOIO PEDAGÓGICO
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Arte, Educação Física, Ensino Religioso",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,EQUIPE GESTORA,DIRETOR(A)
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"Arte, Ciências",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Geografia, Língua Portuguesa, Arte",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - I,"Língua Portuguesa, Arte, Geografia, História, Ensino Religioso, Educação Física, Matemática, Ciências",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Língua Portuguesa, Ciências, História, Matemática, Geografia",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,APOIO ADMINISTRATIVO,MERENDEIRA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - V (DEC JUD),,SAP/BIBLIOTECA,PROFESSOR REGENTE
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE DIOGENES DA CUNHA LIMA ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Componente Curricular 04, Componente Curricular 03, Língua Portuguesa",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE DIOGENES DA CUNHA LIMA ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Teoria e Fundamentos da Administração, Educação Tecnológica e Midiática, Planejamento Estratégico, Gestão Pública e Terceiro Setor, Marketing e Serviços, Sistema de Informação, Empreendedorismo e Inovação Tecnológica e Social, Gestão de Pessoas, Metodologia do Trabalho Científico",,SALA DE AULA
